search_title,job_title,company_name,location,time_posted,num_applicants
data scientist,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",4 days ago,
data scientist,Data Scientist,Reliance Retail,"Bangalore Urban, Karnataka, India",1 week ago,
data scientist,Data Scientist,airtel,"Gurugram, Haryana, India",3 weeks ago,
data scientist,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",2 days ago,
data scientist,Machine Learning Engineer,Meril,"Bengaluru, Karnataka, India",2 weeks ago,
data scientist,Data Scientist,airtel,"Gurugram, Haryana, India",3 weeks ago,
data scientist,Machine Learning Engineer (Freelance),Mindrift,"Bengaluru, Karnataka, India",5 days ago,
data scientist,Machine Learning Engineer (Freelance),Mindrift,Greater Kolkata Area,5 days ago,
data scientist,"Data Scientist, Research Cloud",Google,"Bengaluru, Karnataka, India",5 days ago,
data scientist,Machine Learning Engineer (Freelance),Mindrift,"Hyderabad, Telangana, India",5 days ago,
data scientist,Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",2 weeks ago,
data scientist,Python ML,Infosys,"Bengaluru East, Karnataka, India",2 days ago,120 applicants
data scientist,Data Scientist,HDFC Bank,"Mumbai, Maharashtra, India",3 days ago,
data scientist,Machine Learning Engineer (Freelance),Mindrift,India,5 days ago,
data scientist,Data Scientist,Infosys Finacle,"Bengaluru, Karnataka, India",5 days ago,
data scientist,Data Scientist,MakeMyTrip,"Bengaluru, Karnataka, India",1 week ago,
data scientist,Data Scientist,LatentView Analytics,"Bangalore Urban, Karnataka, India",1 week ago,
data scientist,Machine Learning Engineer (Freelance),Mindrift,"Chennai, Tamil Nadu, India",5 days ago,
data scientist,Data Scientist (GenAI),PwC India,"Bengaluru, Karnataka, India",2 weeks ago,
data scientist,Data Scientist,Coforge,"Hyderabad, Telangana, India",4 days ago,
data scientist,Machine Learning Engineer (Freelance),Mindrift,Mumbai Metropolitan Region,5 days ago,
data scientist,Data Scientist (GenAI),PwC India,"Bengaluru, Karnataka, India",2 weeks ago,
data scientist,Data Scientist,Coforge,"Hyderabad, Telangana, India",4 days ago,
data scientist,"Data Scientist (Hyderabad, India)",Kline + Company,"Hyderabad, Telangana, India",1 week ago,
data scientist,Data Scientist,NielsenIQ,Pune/Pimpri-Chinchwad Area,3 days ago,
data scientist,Data scientist,Infosys,"Bengaluru East, Karnataka, India",1 week ago,
data scientist,Data Scientist (Supply Chain),LTM,"Mumbai, Maharashtra, India",2 weeks ago,
data scientist,Data Scientist,Coface,Mumbai Metropolitan Region,5 days ago,155 applicants
data scientist,Data Science analyst,HSBC,"Mumbai, Maharashtra, India",2 days ago,
data scientist,Data Scientist (Relocation to Saudi Arabia is required),aramco,"Gurugram, Haryana, India",3 weeks ago,
data analyst,Business Intelligence,MakeMyTrip,"Gurugram, Haryana, India",2 weeks ago,
data analyst,Data Analyst,Jio,Mumbai Metropolitan Region,3 weeks ago,
data analyst,Data Analyst,Curefit,"Bengaluru, Karnataka, India",2 days ago,
data analyst,Data Analyst,MakeMyTrip,"Gurgaon, Haryana, India",1 week ago,
data analyst,Data Analyst,Navi,"Bangalore Urban, Karnataka, India",1 week ago,
data analyst,Data Analyst,L&T Technology Services,"Bengaluru, Karnataka, India",2 weeks ago,
data analyst,"Data Analyst, Mumbai",Puma Energy,Mumbai Metropolitan Region,2 weeks ago,
data analyst,Data Analyst,Aditya Birla Capital,"Maharashtra, India",2 days ago,
data analyst,Data Analyst,Persistent Systems,"Pune District, Maharashtra, India",2 weeks ago,
data analyst,Executive - Data Insights,Jagran New Media,"Noida, Uttar Pradesh, India",1 week ago,
data analyst,"Data Analyst, Risk",Google,"Hyderabad, Telangana, India",2 weeks ago,
data analyst,DATA ANALYST,Wipro,"Bengaluru, Karnataka, India",3 weeks ago,
data analyst,Data Analyst (Stata) | Remote,Crossing Hurdles,India,1 week ago,141 applicants
data analyst,Data Analyst,Better,"Gurugram, Haryana, India",2 weeks ago,
data analyst,Data Analyst,HSBC,"Mumbai, Maharashtra, India",2 days ago,
data analyst,Analyst - III,Nykaa,"Bengaluru, Karnataka, India",3 days ago,
data analyst,Decision Support Analyst,Reliance Retail,"Bengaluru, Karnataka, India",2 weeks ago,
data analyst,Data Analyst - Advanced Excel,Sycomp,India,4 days ago,
data analyst,Data Analyst,HSBC,"Mumbai, Maharashtra, India",2 days ago,
data analyst,"Data Analyst (SQL, Data warehousing, Statistical Analysis/Data Science)",Gartner,"Gurgaon, Haryana, India",1 week ago,
data analyst,Data Logger,SLB,"Navi Mumbai, Maharashtra, India",2 weeks ago,119 applicants
data analyst,Data Analyst,NAB,"Gurugram, Haryana, India",3 days ago,
data analyst,Data Analyst - I,Electronic Arts (EA),"Hyderabad, Telangana, India",1 week ago,
data analyst,Data Analyst,Virtusa,"Andhra Pradesh, India",1 week ago,
data analyst,Data Analyst,Virtusa,"Andhra Pradesh, India",,
data analyst,Data Analyst - Python & Power BI,BNP Paribas,"Mumbai, Maharashtra, India",2 days ago,
data analyst,Data Analysis,EXL,"Gurugram, Haryana, India",2 weeks ago,
data analyst,Junior Data Analyst,Publicis Global Delivery (PGD),"Gurugram, Haryana, India",3 days ago,
data analyst,Data Analyst,Infosys,"Trivandrum, Kerala, India",1 day ago,
data analyst,Senior Data Analyst,Ruder Finn India,India,5 days ago,
machine learning engineer,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",4 days ago,
machine learning engineer,Data Scientist,Reliance Retail,"Bangalore Urban, Karnataka, India",1 week ago,
machine learning engineer,Data Scientist,MakeMyTrip,"Bengaluru, Karnataka, India",1 week ago,
machine learning engineer,Data Scientist,airtel,"Gurugram, Haryana, India",3 weeks ago,
machine learning engineer,Data Scientist,Infosys Finacle,"Bengaluru, Karnataka, India",5 days ago,
machine learning engineer,Machine Learning Engineer,Meril,"Bengaluru, Karnataka, India",2 weeks ago,
machine learning engineer,"Data Scientist, Research Cloud",Google,"Bengaluru, Karnataka, India",5 days ago,
machine learning engineer,Data Scientist,HDFC Bank,"Mumbai, Maharashtra, India",3 days ago,
machine learning engineer,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",2 days ago,
machine learning engineer,"Software Engineer, AI Agentic Search, Early Career",Notion,"Hyderabad, Telangana, India",1 week ago,
machine learning engineer,Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",2 weeks ago,
machine learning engineer,Data scientist,Infosys,"Bengaluru East, Karnataka, India",1 week ago,
machine learning engineer,Data Scientist,PepsiCo,"Hyderabad, Telangana, India",1 week ago,
machine learning engineer,Machine Learning Software Engineer,Apple,"Bengaluru, Karnataka, India",1 month ago,
machine learning engineer,Software Engineer,Microsoft,"Bengaluru, Karnataka, India",1 day ago,
machine learning engineer,Data Scientist,Ola,"Bengaluru, Karnataka, India",3 weeks ago,
machine learning engineer,Data Scientist,Coface,Mumbai Metropolitan Region,5 days ago,155 applicants
machine learning engineer,Data Scientist (GenAI),PwC India,"Bengaluru, Karnataka, India",2 weeks ago,
machine learning engineer,Data Scientist,Coforge,"Hyderabad, Telangana, India",4 days ago,
machine learning engineer,Machine Learning Engineer (Freelance),Mindrift,"Hyderabad, Telangana, India",5 days ago,
machine learning engineer,Software Engineer,Microsoft,India,1 week ago,
machine learning engineer,Software Engineer- Data Science,Convera,"Pune Division, Maharashtra, India",2 days ago,
machine learning engineer,Data Scientist,Coface,Mumbai Metropolitan Region,5 days ago,
machine learning engineer,Junior Software Engineer,Goa Electronics Limited,"Marmagao, Goa, India",5 days ago,
machine learning engineer,Software Engineer - 1,Intuit,"Bengaluru, Karnataka, India",3 days ago,
machine learning engineer,Machine Learning Engineer,Apple,"Hyderabad, Telangana, India",1 month ago,
machine learning engineer,Machine Learning Engineer (Freelance),Mindrift,"Surat, Gujarat, India",5 days ago,
machine learning engineer,Machine Learning Engineer (Freelance),Mindrift,"Bengaluru, Karnataka, India",5 days ago,
machine learning engineer,Software Engineer,Microsoft,India,1 week ago,
machine learning engineer,Machine Learning Engineer (Freelance),Mindrift,Greater Kolkata Area,5 days ago,
AI engineer,Python ML Engineer,Infosys,"Bengaluru East, Karnataka, India",2 weeks ago,
AI engineer,Machine Learning Software Engineer,Apple,"Bengaluru, Karnataka, India",1 month ago,
AI engineer,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",4 days ago,
AI engineer,Machine Learning Engineer,Meril,"Bengaluru, Karnataka, India",2 weeks ago,
AI engineer,Machine Learning Engineer,Apple,"Hyderabad, Telangana, India",1 month ago,
AI engineer,Data Scientist,Reliance Retail,"Bangalore Urban, Karnataka, India",1 week ago,
AI engineer,Machine Learning Developer (Freelance),Mindrift,"New Delhi, Delhi, India",5 days ago,
AI engineer,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",2 days ago,
AI engineer,Data Scientist,airtel,"Gurugram, Haryana, India",3 weeks ago,
